edges randomized for k=64,0.01,0.02,0.04,0.08,0.1,0.2,0.4,0.8,1.0,2.0,4.0,8.0,16.0
4,,,,,0.5272816273208523,0.6251678691372868,0.5575410568174898,0.520665350148312,0.5174587482826529,0.48509177167868617,0.424120626959261,0.2609125095087175,0.07821571464539846
8,,,,,0.561084502542797,0.5784142846781664,0.4524996305521752,0.5323826748287319,0.5298963518441616,0.5561054767796402,0.6157849007498343,0.47883656137626424,0.11672183801297158
16,0.6135073435731266,0.4097940444013946,0.8543491671171217,0.41056424914715284,0.591419542689507,0.5710205858008943,0.5463730738571826,0.6115869902098344,0.5675055774113994,0.614086848275621,0.6977343215805591,0.4397901006074078,0.5213982894849454
32,0.7056912626329154,0.15507263612455532,0.1461812359593798,0.15382688958859259,0.6199001400962934,0.15291514857121238,0.48294950474828074,0.36191774913950775,0.16218548510296854,0.2851197249765943,0.27549632652458955,0.554377951341771,0.5279148548353897
64,0.45631260259854967,0.36993795106063015,0.8082937866657001,0.1445871947076625,0.14730738864693516,0.10031979347359342,0.513525480293602,0.23444095865803305,0.12818535833150654,0.20178392687148378,0.4430736282956754,0.22152264618114995,0.14230583022981894
edges randomized for k=4,,,,,6,11,22,45,55,114,228,456,912
edges randomized for k=8,,,,,12,22,45,91,110,228,456,912,1824
edges randomized for k=16,2,2,4,9,4,24,48,96,47,240,480,960,1920
edges randomized for k=32,4,4,9,19,9,48,96,192,95,480,960,1920,3840
edges randomized for k=64,9,9,19,38,19,96,192,384,191,960,1920,3840,7680
